Customer,Date,Revenue
1,1/1/2015,0
1,2/28/2015,21
1,3/31/2015,21
1,4/30/2015,21
1,5/31/2015,21
1,6/30/2015,21
1,7/31/2015,21
1,8/31/2015,21
1,9/30/2015,21
1,10/31/2015,21
1,11/30/2015,21
1,12/31/2015,21
1,1/31/2016,21
1,2/29/2016,21
1,3/31/2016,21
1,4/30/2016,21
1,5/31/2016,21
1,6/30/2016,21
1,7/31/2016,21
1,8/31/2016,21
1,9/30/2016,21
1,10/31/2016,21
1,11/30/2016,21
1,12/31/2016,21
1,1/31/2017,21
1,2/28/2017,21
1,3/31/2017,21
1,4/30/2017,21
1,5/31/2017,21
1,6/30/2017,21
1,7/31/2017,21
1,8/31/2017,21
1,9/30/2017,21
1,10/31/2017,21
1,11/30/2017,21
2,1/1/2015,0
2,2/28/2015,0
2,3/31/2015,0
2,4/30/2015,0
2,5/31/2015,0
2,6/30/2015,0
2,7/31/2015,0
2,8/31/2015,0
2,9/30/2015,0
2,10/31/2015,0
2,11/30/2015,0
2,12/31/2015,0
2,1/31/2016,0
2,2/29/2016,0
2,3/31/2016,0
2,4/30/2016,0
2,5/31/2016,0
2,6/30/2016,0
2,7/31/2016,0
2,8/31/2016,0
2,9/30/2016,0
2,10/31/2016,3333.33
2,11/30/2016,3333.33
2,12/31/2016,3558.33
2,1/31/2017,3558.33
2,2/28/2017,3558.33
2,3/31/2017,3558.33
2,4/30/2017,3558.33
2,5/31/2017,3558.33
2,6/30/2017,3558.33
2,7/31/2017,3850
2,8/31/2017,3850
2,9/30/2017,3850
2,10/31/2017,3850
2,11/30/2017,0
3,1/1/2015,0
3,2/28/2015,0
3,3/31/2015,0
3,4/30/2015,0
3,5/31/2015,0
3,6/30/2015,0
3,7/31/2015,0
3,8/31/2015,0
3,9/30/2015,0
3,10/31/2015,0
3,11/30/2015,0
3,12/31/2015,0
3,1/31/2016,0
3,2/29/2016,0
3,3/31/2016,0
3,4/30/2016,0
3,5/31/2016,0
3,6/30/2016,0
3,7/31/2016,0
3,8/31/2016,0
3,9/30/2016,0
3,10/31/2016,0
3,11/30/2016,0
3,12/31/2016,0
3,1/31/2017,0
3,2/28/2017,0
3,3/31/2017,0
3,4/30/2017,0
3,5/31/2017,0
3,6/30/2017,0
3,7/31/2017,0
3,8/31/2017,0
3,9/30/2017,0
3,10/31/2017,0
3,11/30/2017,0
4,1/1/2015,0
4,2/28/2015,0
4,3/31/2015,17.583
4,4/30/2015,17.583
4,5/31/2015,17.583
4,6/30/2015,17.583
4,7/31/2015,17.583
4,8/31/2015,17.583
